iter	Passed	Remaining
910	4875	476
911	4879	470
912	4885	465
913	4889	460
914	4894	454
915	4899	449
916	4903	443
917	4908	438
918	4913	433
919	4917	427
920	4922	422
921	4927	416
922	4931	411
923	4936	406
924	4941	400
925	4946	395
926	4950	389
927	4955	384
928	4960	379
929	4964	373
930	4969	368
931	4974	362
932	4979	357
933	4983	352
934	4988	346
935	4992	341
936	4997	336
937	5002	330
938	5008	325
939	5012	319
940	5017	314
941	5022	309
942	5026	303
943	5031	298
944	5035	293
945	5040	287
946	5045	282
947	5049	276
948	5054	271
949	5059	266
950	5064	260
951	5068	255
952	5073	250
953	5078	244
954	5082	239
955	5087	234
956	5092	228
957	5096	223
958	5101	218
959	5106	212
960	5111	207
961	5115	202
962	5120	196
963	5125	191
964	5130	186
965	5134	180
966	5139	175
967	5144	170
968	5148	164
969	5153	159
970	5158	154
971	5163	148
972	5169	143
973	5173	138
974	5178	132
975	5182	127
976	5187	122
977	5192	116
978	5196	111
979	5201	106
980	5205	100
981	5210	95
982	5215	90
983	5220	84
984	5225	79
985	5230	74
986	5235	68
987	5240	63
988	5245	58
989	5250	53
990	5255	47
991	5261	42
992	5266	37
993	5272	31
994	5277	26
995	5282	21
996	5287	15
997	5292	10
998	5297	5
999	5302	0
